2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
SPERMIDINE	TXNRD1
CUPRIC CHLORIDE	CSTB
CUPRIC CHLORIDE	PROC
EFALIZUMAB	FCGR2C
EFALIZUMAB	FCGR3B
EFALIZUMAB	C1QB
EFALIZUMAB	ITGAL
EFALIZUMAB	C1R
EFALIZUMAB	C1QC
EFALIZUMAB	FCGR1A
EFALIZUMAB	C1QA
EFALIZUMAB	FCGR2B
EFALIZUMAB	FCGR3A
EFALIZUMAB	FCGR2A
2,4-DIAMINO-5-(3,4,5-TRIMETHOXY-BENZYL)-PYRIMIDIN-1-IUM	DHFR
DINOPROST	PTGDR2
AZELAIC ACID	SRD5A2
AZELAIC ACID	AKR1D1
AZELAIC ACID	TYR
SALSALATE	PTGS2
SALSALATE	PTGS1
1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)	CTRB1
DIMETHYL FUMARATE	KEAP1
DIMETHYL FUMARATE	RELA
URIDINE	LSM6
ZOLMITRIPTAN	HTR1F
ZOLMITRIPTAN	HTR1B
ZOLMITRIPTAN	HTR1D
ZOLMITRIPTAN	HTR1A
LY2275796	EIF4E
1-[(2,6-DIFLUOROPHENYL)SULFONYL]-4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YLSULFONYL)PIPERAZINE	PKM
L-N(OMEGA)-NITROARGININE-(4R)-AMINO-L-PROLINE AMIDE	NOS3
L-N(OMEGA)-NITROARGININE-(4R)-AMINO-L-PROLINE AMIDE	NOS1
(3-CHLORO-4-PROPOXY-PHENYL)-ACETIC ACID	PTGS1
3-(2,6-DIFLUOROPHENYL)-2-(METHYLTHIO)QUINAZOLIN-4(3H)-ONE	PDE7A
1-TERT-BUTYL-3-(4-CHLORO-PHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-YLAMINE	LCK
1-TERT-BUTYL-3-(4-CHLORO-PHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-YLAMINE	SRC
1-TERT-BUTYL-3-(4-CHLORO-PHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-YLAMINE	LYN
ROFECOXIB	PTGS2
ROFECOXIB	ELN
PX-478	HIF1A
5-DEOXY-5-METHYLTHIOADENOSINE	MTAP
FASUDIL	PKIA
FASUDIL	ROCK2
FASUDIL	ROCK1
FASUDIL	PRKACA
{[7-(DIFLUORO-PHOSPHONO-METHYL)-NAPHTHALEN-2-YL]-DIFLUORO-METHYL}-PHOSPHONIC ACID	PTPN1
SECRETIN	SCTR
ADENOSINE 5-PHOSPHOSULFATE	PAPSS1
OLEIC ACID	RXRA
OLEIC ACID	PPARD
OLEIC ACID	PPARG
OLEIC ACID	PPARA
OLEIC ACID	GLTP
OLEIC ACID	PMP2
1-(2-{[(6-AMINO-2-METHYLPYRIDIN-3-YL)METHYL]AMINO}ETHYL)-6-CHLORO-3-[(2,2-DIFLUORO-2-PYRIDIN-2-YLETHYL)AMINO]-1,4-DIHYDROPYRAZIN-2-OL	F2
2-AMINO-6-[2-(1H-INDOL-6-YL)ETHYL]PYRIMIDIN-4(3H)-ONE	BACE1
PERIFOSINE	MAPK1
PERIFOSINE	PRKCA
PERIFOSINE	AKT1
3,5-DIMETHYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER	PDE4D
SODIUM FERRIC GLUCONATE COMPLEX	HBB
SODIUM FERRIC GLUCONATE COMPLEX	HBA1
SODIUM FERRIC GLUCONATE COMPLEX	FTL
INCB7839	ADAM9
3-PYRIDIN-4-YL-1H-INDAZOLE	PRKACA
3-PYRIDIN-4-YL-1H-INDAZOLE	PKIA
AMPICILLIN	SLC15A2
AMPICILLIN	TEK
AMPICILLIN	SLC15A1
N-ACETYLHISTAMINE	QPCT
L-2-AMINO-3-BUTYNOIC ACID	CTH
SULFINPYRAZONE	SLC22A12
SULFINPYRAZONE	NR1I2
SULFINPYRAZONE	ABCC1
SULFINPYRAZONE	ABCC2
{(2Z)-4-AMINO-2-[(4-METHOXYPHENYL)IMINO]-2,3-DIHYDRO-1,3-THIAZOL-5-YL}(4-METHOXYPHENYL)METHANONE	CSNK1G3
INTERFERON ALFACON-1	IFNAR2
INTERFERON ALFACON-1	IFNAR1
KAI-1455	PRKCE
GADOPENTETATE DIMEGLUMINE	PGD
(2S)-2-HYDROXYOCTANOIC ACID	HAO1
ACEPROMETAZINE	HRH1
SORAPHEN A	ACACB
ISOTHIPENDYL	HRH1
N-ACETYL-D-ALLOSAMINE	CHIA
N-ACETYL-D-ALLOSAMINE	CHIT1
TERIFLUNOMIDE	DHODH
TELOTRISTAT ETHYL	TPH2
TELOTRISTAT ETHYL	TPH1
FILAMINAST	PDE4B
CYSTINE	SLC7A9
CYSTINE	SLC3A1
CYSTINE	SLC7A11
CYSTINE	CTNS
INDANE-5-SULFONAMIDE	CA2
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCRC2
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCRQ
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCRB
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCRH
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCRFS1
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	MT-CYB
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCR11
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	CYC1
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCR10
2-NONYL-4-HYDROXYQUINOLINE N-OXIDE	UQCRC1
8,9-DICHLORO-2,3,4,5-TETRAHYDRO-1H-BENZO[C]AZEPINE	PNMT
[2,4,6-TRIISOPROPYL-PHENYLSULFONYL-L-[3-AMIDINO-PHENYLALANINE]]-PIPERAZINE-N-BETA-ALANINE	PLAU
N-[(5S,7R,8S,9S,10R)-8,9,10-TRIHYDROXY-7-(HYDROXYMETHYL)-2,4-DIOXO-6-OXA-1,3-DIAZASPIRO[4.5]DEC-3-YL]ACETAMIDE	PYGM
MDL-29951	FBP1
MIDOMAFETAMINE	SLC18A2
MIDOMAFETAMINE	SLC6A4
MIDOMAFETAMINE	SLC6A2
MIDOMAFETAMINE	HTR2C
MIDOMAFETAMINE	SLC6A3
MIDOMAFETAMINE	HTR2B
MIDOMAFETAMINE	HTR2A
META VANADATE	CKS1B
(1S)-1-(3-CHLOROPHENYL)-2-OXO-2-[(1,3,4-TRIOXO-1,2,3,4-TETRAHYDROISOQUINOLIN-5-YL)AMINO]ETHYL ACETATE	CASP3
4-METHOXYAMPHETAMINE	SLC18A2
4-METHOXYAMPHETAMINE	ADRA1A
4-METHOXYAMPHETAMINE	SLC6A4
4-METHOXYAMPHETAMINE	SLC6A3
4-METHOXYAMPHETAMINE	MAOB
4-METHOXYAMPHETAMINE	ADRA2A
4-METHOXYAMPHETAMINE	MAOA
DESCARBOXY-NOR-N(OMEGA)-HYDROXY-L-ARGININE	ARG1
AZD3409	FNTB
AZD3409	FNTA
2-DEOXYGUANOSINE-5-TRIPHOSPHATE	NME1
PALMITOYL-LINOLEOYL PHOSPHATIDYLCHOLINE	PCTP
DIGLYME	HSP90B1
MIANSERIN	SLC6A3
MIANSERIN	ADRA2C
MIANSERIN	HTR1A
MIANSERIN	HTR6
MIANSERIN	ADRA2B
MIANSERIN	HTR2C
MIANSERIN	HTR2B
MIANSERIN	HRH1
MIANSERIN	SLC6A2
MIANSERIN	HTR2A
MIANSERIN	HRH4
MIANSERIN	HTR1F
MIANSERIN	DRD3
MIANSERIN	ADRA2A
MIANSERIN	SLC6A4
MIANSERIN	OPRK1
MIANSERIN	DRD2
MIANSERIN	HTR7
TACROLIMUS	FKBP1A
GLUCAGON RECOMBINANT	GCGR
GLUCAGON RECOMBINANT	GLP1R
GLUCAGON RECOMBINANT	GLP2R
N,4-DIMETHYL-3-[(1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-YL)AMINO]BENZAMIDE	MAPK14
(R)-ROLIPRAM	PDE4D
(R)-ROLIPRAM	PDE4B
L-THREONINE	TARS2
L-THREONINE	TARS
L-THREONINE	THNSL1
L-PROLINE, 1-[(2S)-3-MERCAPTO-2-METHYL-1-OXOPROPYL]-4-(PHENYLTHIO)-, 4S	LAP3
2,4-DIHYDROXY-TRANS CINNAMIC ACID	CTRB1
ALPHA-FLUORO-CARBOXYMETHYLDETHIA COENZYME A COMPLEX	CS
4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL	HSP90AA1
SPHINXOLIDE B	ACTA1
8,9,10-TRIHYDROXY-7-HYDROXYMETHYL-2-THIOXO-6-OXA-1,3-DIAZA-SPIRO[4.5]DECAN-4-ONE	PYGM
N-[3-(1H-BENZIMIDAZOL-2-YL)-1H-PYRAZOL-4-YL]BENZAMIDE	AURKA
N-[3-(1H-BENZIMIDAZOL-2-YL)-1H-PYRAZOL-4-YL]BENZAMIDE	CDK2
PENTAZOCINE	SIGMAR1
PENTAZOCINE	OPRK1
PENTAZOCINE	OPRM1
ANASTROZOLE	CYP19A1
LPC-ETHER	GM2A
LPC-ETHER	PLA2G1B
PIOGLITAZONE	PPARA
PIOGLITAZONE	MAOB
PIOGLITAZONE	PPARD
PIOGLITAZONE	PPARG
BIS-NAPTHYL BETA-KETOPHOSPHONIC ACID	CTSG
TOLOXATONE	MAOA
CYT007-TNFQB	TNF
(1S)-1-{[(4-METHOXY-1,1-BIPHENYL-4-YL)SULFONYL]AMINO}-2-METHYLPROPYLPHOSPHONIC ACID	MMP8
(1S,4R,9S)-5-(TRIFLUOROMETHYL)-1,2,3,4-TETRAHYDRO-1,4-METHANONAPHTHALEN-9-AMINE	PNMT
ENZACAMENE	ESR1
ENZACAMENE	ESR2
ENZACAMENE	PGR
ENZACAMENE	AR
CINNARIZINE	CACNA1S
CINNARIZINE	CACNA1D
CINNARIZINE	CACNA1G
CINNARIZINE	CACNA1H
CINNARIZINE	CACNA1C
CINNARIZINE	HRH1
CINNARIZINE	DRD2
CINNARIZINE	CACNA1F
CINNARIZINE	CACNA1I
ERYTHROMYCIN	MLNR
ERYTHROMYCIN	ALB
ERYTHROMYCIN	KCNH2
OCTYL 3-AMINO-3-DEOXY-2-O-(2,6-DIDEOXY-ALPHA-L-LYXO-HEXOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE	ABO
4-(4-HYDROXY-3-METHYLPHENYL)-6-PHENYLPYRIMIDIN-2(5H)-ONE	PIM1
FOMEPIZOLE	ADH1B
FOMEPIZOLE	ADH1A
FOMEPIZOLE	ADH1C
FOMEPIZOLE	CAT
SOTATERCEPT	ACVR2A
SULTHIAME	CA2
DUVOGLUSTAT	MAN1B1
3-{6-[(8-HYDROXY-QUINOLINE-2-CARBONYL)-AMINO]-2-THIOPHEN-2-YL-HEXANOYLAMINO}-4-OXO-BUTYRI ACID	CASP1
6-CHLORO-N-PYRIMIDIN-5-YL-3-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}-1,2-BENZISOXAZOLE-7-CARBOXAMIDE	KDR
NEFAZODONE	HTR2C
NEFAZODONE	KCNH2
NEFAZODONE	ADRA2A
NEFAZODONE	SLC6A4
NEFAZODONE	SLC6A2
NEFAZODONE	HTR2A
NEFAZODONE	SLC6A3
NEFAZODONE	ADRA1B
NEFAZODONE	ADRA1A
NEFAZODONE	HTR1A
GLYCINE	PIPOX
GLYCINE	SLC36A1
GLYCINE	SLC6A9
GLYCINE	SHMT2
GLYCINE	GNMT
GLYCINE	GLRA2
GLYCINE	GARS
GLYCINE	GCSH
GLYCINE	ALAS2
GLYCINE	GRIN2C
GLYCINE	GLYAT
GLYCINE	GLRA1
GLYCINE	GSS
GLYCINE	GLYATL1
GLYCINE	SHMT1
GLYCINE	SLC6A5
GLYCINE	GLRA3
GLYCINE	BAAT
GLYCINE	AGXT
GLYCINE	GLDC
GLYCINE	ALAS1
GLYCINE	GLRB
GLYCINE	AGXT2
GLYCINE	GLYATL2
GLYCINE	GPR18
GLYCINE	GATM
GLYCINE	GRIN2A
GLYCINE	GRIN3B
GLYCINE	SLC32A1
GLYCINE	GCAT
ELIGLUSTAT	UGCG
MEFENAMIC ACID	PTGS2
MEFENAMIC ACID	PTGS1
COMPOUND 19	PTPN1
COMPOUND 19	ESR1
MILATAXEL	TUBB1
MILATAXEL	TUBB
3-CARBOXAMIDO-1,3,5(10)-ESTRATRIEN-17(R)-SPIRO-2(5,5-DIMETHYL-6OXO)TETRAHYDROPYRAN	AKR1C3
TRIFLUOROACETONYL COENZYME A	CS
DOMOIC ACID	GRIK2
MIFEPRISTONE	PGR
MIFEPRISTONE	NR3C1
MIFEPRISTONE	KLK3
MIFEPRISTONE	NR1I2
2-(6-METHYLPYRIDIN-2-YL)-N-PYRIDIN-4-YLQUINAZOLIN-4-AMINE	TGFBR1
INDIRUBIN	CYP1A1
INDIRUBIN	AHR
TRANS-O-HYDROXY-ALPHA-METHYL CINNAMATE	CTRB1
LOFEXIDINE	ADRA2A
AVIBACTAM	PER1
CARBOBENZYLOXY-(L)-LEUCINYL-(L)LEUCINYL METHOXYMETHYLKETONE	CTSH
4-{[4-AMINO-6-(CYCLOHEXYLMETHOXY)-5-NITROSOPYRIMIDIN-2-YL]AMINO}BENZAMIDE	CDK2
4-{[4-AMINO-6-(CYCLOHEXYLMETHOXY)-5-NITROSOPYRIMIDIN-2-YL]AMINO}BENZAMIDE	CCNA2
ALPHA-L-METHYL-FUCOSE	MBL2
S-(P-NITROBENZYL)GLUTATHIONE	GSTP1
PIDOLIC ACID	TFF2
PIDOLIC ACID	KRTAP5-2
PIDOLIC ACID	CCL8
PIDOLIC ACID	AMY1A
PIDOLIC ACID	VEGFA
PIDOLIC ACID	HCRT
PIDOLIC ACID	AMY2B
PIDOLIC ACID	ADAM28
PIDOLIC ACID	AMY2A
PIDOLIC ACID	ANG
1-({2-[2-(4-CHLOROPHENYL)ETHYL]-1,3-DIOXOLAN-2-YL}METHYL)-1H-IMIDAZOLE	HMOX1
DDP-225	HTR3A
DDP-225	SLC6A2
BENZONATATE	SCN5A
FLOVAGATRAN	F2
METHYL (1R,2S)-2-(HYDROXYCARBAMOYL)-1-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]BENZYL}CYCLOPROPANECARBOXYLATE	ADAM17
ALUMINIUM	ATP1A1
ALUMINIUM	APP
ALUMINIUM	KLK1
ALUMINIUM	TF
3-CARBOXY-N,N,N-TRIMETHYL-2-(OCTANOYLOXY)PROPAN-1-AMINIUM	CROT
BUPRANOLOL	ADRB1
BUPRANOLOL	ADRB3
BUPRANOLOL	ADRB2
CRA_17312	PRSS1
2-({4-[(5-CHLORO-1H-INDOL-2-YL)SULFONYL]PIPERAZIN-1-YL}CARBONYL)THIENO[3,2-B]PYRIDINE 4-OXIDE	F10
PENTOSAN POLYSULFATE	FGF4
PENTOSAN POLYSULFATE	FGF1
PENTOSAN POLYSULFATE	FGF2
ULAPUALIDE A	ACTA1
SPP1148	REN
SPP1148	ACE2
SYM001	RHD
TRIAMCINOLONE	NR3C1
RILPIVIRINE	NR1I2
N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE	F10
ESTRADIOL BENZOATE	GPER1
ESTRADIOL BENZOATE	ESRRG
ESTRADIOL BENZOATE	ESR1
ESTRADIOL BENZOATE	NCOA2
ESTRADIOL BENZOATE	HSD17B2
ESTRADIOL BENZOATE	ESR2
ESTRADIOL BENZOATE	BECN1
ESTRADIOL BENZOATE	MT-ATP6
ESTRADIOL BENZOATE	NR1I2
ESTRADIOL BENZOATE	CHRNA4
3-METHYLPHENYLALANINE	CTSB
COSITECAN	TOP1
3-(2-CHLOROPHENYL)-1-(2-{[(1S)-2-HYDROXY-1,2-DIMETHYLPROPYL]AMINO}PYRIMIDIN-4-YL)-1-(4-METHOXYPHENYL)UREA	MAPK14
NAPHTHALENE TRISULFONATE	FGF1
APOMORPHINE	HTR2A
APOMORPHINE	ADRA2C
APOMORPHINE	DRD1
APOMORPHINE	DRD5
APOMORPHINE	HTR1B
APOMORPHINE	DRD4
APOMORPHINE	HTR1A
APOMORPHINE	HTR2C
APOMORPHINE	HTR2B
APOMORPHINE	CALY
APOMORPHINE	DRD3
APOMORPHINE	ADRA2A
APOMORPHINE	ADRA2B
APOMORPHINE	HTR1D
APOMORPHINE	DRD2
2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE	MAPKAPK3
2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE	MAPKAPK2
[4-AMINO-2-(TERT-BUTYLAMINO)-1,3-THIAZOL-5-YL](PHENYL)METHANONE	CHEK1
DIFLORASONE	NR3C1
ROCURONIUM	CHRM2
ROCURONIUM	HTR3A
ROCURONIUM	CHRNA2
ACETOHYDROXAMIC ACID	MMP12
ANISOTROPINE METHYLBROMIDE	CHRM2
ANISOTROPINE METHYLBROMIDE	CHRM3
ANISOTROPINE METHYLBROMIDE	CHRM1
DESMOPRESSIN	AVPR1A
DESMOPRESSIN	AVPR1B
DESMOPRESSIN	AVPR2
SELISISTAT	SIRT1
2-[(2,3,4-TRIFLUOROBIPHENYL-2-YL)OXY]ETHANOL	CTSS
N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-	CTSB
CLOBETASOL PROPIONATE	NR3C1
2-(CARBOXYMETHOXY)-5-[(2S)-2-({(2S)-2-[(3-CARBOXYPROPANOYL)AMINO] -3-PHENYLPROPANOYL}AMINO)-3-OXO-3-(PENTYLAMINO)PROPYL]BENZOIC ACID	PTPN1
(5R,6S,8S)-8-[3-(AMINOMETHYL)PHENYL]-6-HYDROXY-5-ISOPROPYL-3-OXO-1-PHENYL-2,7-DIOXA-4-AZA-6-PHOSPHANONAN-9-OIC ACID 6-OXIDE	CPB1
(2S)-N-(4-CYANO-3-IODOPHENYL)-3-(4-CYANOPHENOXY)-2-HYDROXY-2-METHYLPROPANAMIDE	AR
CLOMIPRAMINE	GSTP1
CLOMIPRAMINE	HTR2A
CLOMIPRAMINE	HTR2C
CLOMIPRAMINE	HTR2B
CLOMIPRAMINE	SLC6A2
CLOMIPRAMINE	SLC6A4
TROGLITAZONE	SLC29A1
TROGLITAZONE	ESRRG
TROGLITAZONE	SERPINE1
TROGLITAZONE	ESRRA
TROGLITAZONE	ACSL4
TROGLITAZONE	PPARA
TROGLITAZONE	GSTP1
TROGLITAZONE	PPARD
TROGLITAZONE	PPARG
R450	ADRA1A
R450	ADRA1B
R450	ADRA1D
EZETIMIBE	SOAT1
EZETIMIBE	ANPEP
EZETIMIBE	NPC1L1
(3,4-DIHYDROXY-2-NITROPHENYL)(PHENYL)METHANONE	COMT
2-AMINOETHANIMIDIC ACID	CTSB
CONESTAT ALFA	KLKB1
CONESTAT ALFA	C1S
CONESTAT ALFA	F11
CONESTAT ALFA	PLAT
CONESTAT ALFA	F12
CONESTAT ALFA	F2
CONESTAT ALFA	C1R
THIOCOUMARIN	NOS2
N-CYCLOHEXYL-N-DECYLUREA	EPHX2
CYCLOHEXYL-PENTYL-MALTOSIDE	CYP2B6
N-(2-AMINOETHYL)-P-CHLOROBENZAMIDE	MAOB
HYDROCORTAMATE	NR3C1
PHOSPHOMETHYLPHOSPHONIC ACID GUANOSYL ESTER	CANT1
PAPAVERINE	PDE4B
PAPAVERINE	PDE10A
ANISOMYCIN	RPL8
ANISOMYCIN	SNU13
ANISOMYCIN	RSL24D1
ANISOMYCIN	RPL13A
ANISOMYCIN	RPL19
ANISOMYCIN	RPL26L1
ANISOMYCIN	RPL37
ANISOMYCIN	RPL3
ANISOMYCIN	RPL23A
ANISOMYCIN	RPL11
ANISOMYCIN	RPL10L
ANISOMYCIN	RPL15
ANISOMYCIN	RPL23
HYOSCYAMINE	CHRM3
HYOSCYAMINE	CHRM1
HYOSCYAMINE	CHRM4
HYOSCYAMINE	CHRM2
METHIMAZOLE	TPO
TECHNETIUM TC-99M ARCITUMOMAB	CEACAM1
PARA-(BENZOYL)-PHENYLALANINE	PTPN1
PARA-(BENZOYL)-PHENYLALANINE	YARS
PIPERAZINE	GABRB3
S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE	EGFR
EM-1745	HSD17B1
AGOMELATINE	MTNR1A
AGOMELATINE	HTR2C
AGOMELATINE	MTNR1B
MITO-4509	APP
XL844	CHEK2
XL844	CHEK1
PARA-BROMOBENZYL ALCOHOL	ADH1C
ERGOCALCIFEROL	VDR
N-(5-AMINO-5-CARBOXYPENTYL)GLUTAMIC ACID	AASS
ATG003	CHRNA10
ATG003	CHRNA9
PENTANAL	PRKACA
SILICON DIOXIDE	MARCO
PEMBROLIZUMAB	PDCD1
(2S)-2-(3-{[AMINO(IMINO)METHYL]AMINO}PHENYL)-3-[(S)-HYDROXY(3-PHENYLPROPYL)PHOSPHORYL]PROPANOIC ACID	CPB1
TESTOLACTONE	CYP19A1
CP-271485	MMP12
N-(4-CARBAMIMIDOYLBENZYL)-1-(4-METHYLPENTANOYL)-L-PROLINAMIDE	F2
DPB-T	NT5M
